key,mean,lower,upper,n.subj,seed
syntax_filler,0.06661190415483993,-0.4859757089688216,0.627824319941259,300,17
b_Intercept,2.969039396203942,2.3881985864453537,3.6239528815717805,300,18
b_syntax_dev1,0.634940564745397,0.3971716989600547,0.8892023252186567,300,18
b_syntax_dev1:trial_dev1,-0.1639804664168895,-0.3901903788150364,0.05883483101035858,300,18
b_trial_dev1,-0.45262740662216405,-0.8233804224588138,-0.08933124435025162,300,18
critical_pred,2.6227457716638196,1.9030248285363374,3.3951262069064687,300,18
critical_subj,4.220587833988392,3.390627884885573,5.155518488323248,300,18
filler_pred,2.04545189125327,1.3497446160197049,2.8075891433992015,300,18
filler_subj,2.9873720879102854,2.246012528161326,3.7974062134297886,300,18
syntax_critical,1.5978420623245728,0.9241606648200283,2.3333151276292776,300,18
syntax_filler,0.941920196657015,0.3067705334536918,1.5909644787636028,300,18
b_Intercept,2.1487150382162907,1.6122577420417632,2.727805889516923,300,19
b_syntax_dev1,0.6832169954537457,0.3878840849237249,0.9972116445973056,300,19
b_syntax_dev1:trial_dev1,0.1005837578348168,-0.12058789237563056,0.3297085441728906,300,19
b_trial_dev1,-0.27071566674297065,-0.5144165021001479,-0.041870512673736024,300,19
critical_pred,1.8367974673403324,1.1388286230266589,2.5682947026198737,300,19
critical_subj,3.0020639425781903,2.2451230486874225,3.80205812466214,300,19
filler_pred,1.0941986181847576,0.4196566490673447,1.7916832854982458,300,19
filler_subj,2.6618001247618825,1.9486236967672812,3.4129094858991667,300,19
syntax_critical,1.1652664752378576,0.4108018279102039,1.9531809804332836,300,19
syntax_filler,1.567601506577125,0.8320338728252548,2.3756671012823527,300,19
b_Intercept,3.9574356581493304,3.2520152601545798,4.797587634307077,300,20
b_syntax_dev1,0.7274109889331554,0.4606788986474546,1.0262044189397217,300,20
b_syntax_dev1:trial_dev1,0.401930610928989,0.13576269768414362,0.676885805003458,300,20
b_trial_dev1,-0.019161793749427062,-0.42080783387534565,0.3986949613962281,300,20
critical_pred,3.651117073894591,2.777598017623435,4.6137163336929,300,20
critical_subj,4.302077829902924,3.4117118016939885,5.320070415361116,300,20
filler_pred,2.808932264537759,1.988070642663268,3.716873170705198,300,20
filler_subj,5.0676154642620475,4.0967575501117315,6.205214982250345,300,20
syntax_critical,0.6509607560083328,-0.09716445427725229,1.4471874727705647,300,20
syntax_filler,2.2586831997242887,1.5134422789311806,3.099888956416609,300,20
b_Intercept,2.7323646105704467,2.131706136952325,3.3881076689564606,300,21
b_syntax_dev1,1.089370667940815,0.865349476590801,1.3227558130868202,300,21
b_syntax_dev1:trial_dev1,0.32397261283349915,0.08627501990877917,0.5671589616218227,300,21
b_trial_dev1,-0.798256636217289,-1.206895302026644,-0.41448379262839075,300,21
