n.subj,n.item,seed,key,mean,lower,upper
400,6,12,syntax_filler,1.907116912753194,0.9819250292129175,2.853853765034902
400,6,13,b_Intercept,2.6236250565485317,2.1139900011711883,3.1596696869740044
400,6,13,b_syntax_dev1,0.893562537715243,0.5346720172808112,1.2518524055527396
400,6,13,b_syntax_dev1:trial_dev1,0.10957786329578684,-0.16032005336889085,0.38644353051149555
400,6,13,b_trial_dev1,-0.3123125188316527,-0.66493650822723,0.022708595720587362
400,6,13,critical_pred,2.1519529009607283,1.4074089862804833,2.9134724919754715
400,6,13,critical_subj,3.7199222497996405,2.9225837893564504,4.583220560171886
400,6,13,filler_pred,1.3081721367058492,0.5882224893336288,2.0465290517765666
400,6,13,filler_subj,3.314452938727909,2.562037723929091,4.130087667034316
400,6,13,syntax_critical,1.5679693488389121,0.6789926577161817,2.4573575994604955
400,6,13,syntax_filler,2.0062808020220597,1.110337296748688,2.923205785149463
400,6,14,b_Intercept,2.567139049637404,2.0893054682129,3.091364825254121
400,6,14,b_syntax_dev1,0.9955992388840026,0.814734494683532,1.1887481876304657
400,6,14,b_syntax_dev1:trial_dev1,0.16698533112918473,0.015519640726808613,0.31909279974067234
400,6,14,b_trial_dev1,0.0874538453447059,-0.23136039332662098,0.42094126561715317
400,6,14,critical_pred,1.6510712965378802,1.0637300504246439,2.2748912076579426
400,6,14,critical_subj,3.308299112047516,2.659163804669416,4.011249378932438
400,6,14,filler_pred,1.4920083249689227,0.9007994189753379,2.1234848167423115
400,6,14,filler_subj,3.8171774649952974,3.1388355508198393,4.522275561205715
400,6,14,syntax_critical,1.6572278155096358,1.2053024971700252,2.131606313012047
400,6,14,syntax_filler,2.3251691400263748,1.83904048770623,2.8339240562777537
400,6,15,b_Intercept,2.3118665581258706,1.7981102284014794,2.869208537979217
400,6,15,b_syntax_dev1,0.648376145364879,0.4647562546440797,0.8481606091551801
400,6,15,b_syntax_dev1:trial_dev1,0.1979835063446007,0.029104474243084343,0.3628167171442513
400,6,15,b_trial_dev1,-0.8286649344989261,-1.46473951322444,-0.21689340861937192
400,6,15,critical_pred,2.6901388536045183,1.835041227960585,3.5626580009245665
400,6,15,critical_subj,3.5909241316450746,2.712764324641963,4.519336448446568
400,6,15,filler_pred,0.6368419719174647,-0.16381448060073275,1.4439645734040985
400,6,15,filler_subj,2.329561275336424,1.496744948064851,3.1954076693102573
400,6,15,syntax_critical,0.9007852780405564,0.4032897038394122,1.437509094227333
400,6,15,syntax_filler,1.6927193034189594,1.1950139700510298,2.210127876750782
400,6,16,b_Intercept,2.7506547823739167,2.331626392877378,3.2078281012065624
400,6,16,b_syntax_dev1,0.6468509633134657,0.4792229404701281,0.8149707156908095
400,6,16,b_syntax_dev1:trial_dev1,-0.05031373286809918,-0.2076720675582216,0.10725960003405594
400,6,16,b_trial_dev1,-0.2972583211899671,-0.7930633067191646,0.18822948379059265
400,6,16,critical_pred,2.350748407382319,1.691400868903617,3.0426711925416523
400,6,16,critical_subj,3.7450777997454487,3.042200431190257,4.49457614659054
400,6,16,filler_pred,1.8568592307385832,1.1972608626885122,2.5229758401324998
400,6,16,filler_subj,3.0499336916293163,2.3475787812314834,3.76664901741906
400,6,16,syntax_critical,1.3943293923631297,0.9192908087910662,1.874187714899751
400,6,16,syntax_filler,1.193074460890733,0.7404890316986001,1.6370354126111062
400,6,17,b_Intercept,2.676246396510417,2.136640454175252,3.2766617619360243
400,6,17,b_syntax_dev1,0.426164502674211,0.1645956926125989,0.700988237602746
400,6,17,b_syntax_dev1:trial_dev1,0.13787972980867338,-0.04185678752154479,0.3270468570382059
400,6,17,b_trial_dev1,-0.5360073323345161,-0.7990040278826367,-0.2858638065004863
400,6,17,critical_pred,2.9239689559793955,2.2500486202898093,3.6754513692404194
400,6,17,critical_subj,3.5005385017104707,2.791230810144567,4.257332082937272
400,6,17,filler_pred,1.5761948316930163,0.9395274147832955,2.2291579894160685
400,6,17,filler_subj,2.704283296658785,2.035431661069329,3.4279824011959503
400,6,17,syntax_critical,0.5765695457310752,-0.07797256341499662,1.2351324954212166
400,6,17,syntax_filler,1.1280884649657688,0.5184681083448572,1.7856785593416757
400,6,18,b_Intercept,2.427775854543765,2.0672792439483527,2.804953602003816
400,6,18,b_syntax_dev1,0.5335164770764536,0.36887553226610864,0.6997700751493724
400,6,18,b_syntax_dev1:trial_dev1,0.22441330993781292,0.018062283157608265,0.4306783296285661
400,6,18,b_trial_dev1,-0.014051315204000362,-0.18534931447645828,0.16138508537016216
400,6,18,critical_pred,2.132724002609125,1.6675035346577236,2.627952865948834
400,6,18,critical_subj,2.750930336886406,2.2599467553474137,3.2730947554083034
400,6,18,filler_pred,1.6557947523254986,1.206852512712895,2.1302318395684607
400,6,18,filler_subj,3.1716543263540316,2.6687673477616505,3.6992510675549344
400,6,18,syntax_critical,0.6182063342772812,0.09782215946102737,1.1498916883963062
400,6,18,syntax_filler,1.5158595740285328,0.9709413226915531,2.049342955819022
400,6,19,b_Intercept,3.1982549562484546,2.7498915332128546,3.703400852017352
400,6,19,b_syntax_dev1,0.5493362783281138,0.26679966909310043,0.8335225747654603
400,6,19,b_syntax_dev1:trial_dev1,-0.40276818718028445,-0.7498745898942617,-0.07493170436535937
400,6,19,b_trial_dev1,-0.17646878993038217,-0.7701592228322738,0.38454198520694316
400,6,19,critical_pred,2.422619280670438,1.590388649905282,3.2688320944398037
400,6,19,critical_subj,4.326828211687235,3.448563060029117,5.244675500732168
400,6,19,filler_pred,2.8752180751702427,2.0250493461545083,3.7359120732982274
400,6,19,filler_subj,3.168354257465902,2.345417724323365,4.0258329814347285
400,6,19,syntax_critical,1.9042089310167967,1.0449586444910564,2.821817560103196
400,6,19,syntax_filler,0.2931361822956588,-0.5605419181249183,1.133552955293114
400,6,20,b_Intercept,3.011776386696308,2.559020810497667,3.5351677195946904
400,6,20,b_syntax_dev1,0.8572203302604001,0.6390050229945643,1.092338232367199
400,6,20,b_syntax_dev1:trial_dev1,-0.10048967801158748,-0.40876829782841523,0.19759863211211076
400,6,20,b_trial_dev1,0.050041608997675964,-0.28866750048135276,0.3951334620446724
400,6,20,critical_pred,2.004024769426645,1.3738979899689994,2.677120832832841
400,6,20,critical_subj,3.91944478597062,3.2025015244612747,4.699024224855259
400,6,20,filler_pred,2.3050873434451717,1.6756841729933185,2.97797300045056
400,6,20,filler_subj,3.818548647942797,3.115187793876927,4.5894430715776915
400,6,20,syntax_critical,1.9154200165439752,1.1690452320787552,2.6958184677131687
400,6,20,syntax_filler,1.5134613044976253,0.7933390912528373,2.253106143281483
400,6,21,b_Intercept,3.224316120332253,2.623245655416747,3.885424005072087
400,6,21,b_syntax_dev1,0.774964474980517,0.60272588524079,0.9544706464114955
400,6,21,b_syntax_dev1:trial_dev1,0.268005143981755,0.06475873761144876,0.4798587017122198
400,6,21,b_trial_dev1,-0.12274744630769725,-0.3749736942723911,0.13299714498986628
400,6,21,critical_pred,2.8401042356411885,2.1576904592031037,3.5908739773815537
400,6,21,critical_subj,3.8540228976387123,3.126543359182815,4.638352536128859
400,6,21,filler_pred,2.0585990550622837,1.4240893207106637,2.750632498520204
400,6,21,filler_subj,4.1445382929868275,3.3982609226672214,4.950070111342234
400,6,21,syntax_critical,1.013918661997524,0.4942877381581551,1.5383689481137384
400,6,21,syntax_filler,2.0859392379245443,1.5441704107548793,2.6495908497755356
400,6,22,b_Intercept,3.139048335159739,2.624766302151082,3.737765519263989
400,6,22,b_syntax_dev1,0.8127226476885904,0.595528283325864,1.0438821563417333
400,6,22,b_syntax_dev1:trial_dev1,0.013312480736411681,-0.1928185656198155,0.21492684805091375
400,6,22,b_trial_dev1,-0.33761946752295646,-0.891849235348944,0.24175013435624612
400,6,22,critical_pred,2.6772576357305167,1.9114813424835913,3.544056151321996
400,6,22,critical_subj,4.276077969634874,3.422272159360411,5.247754810459534
400,6,22,filler_pred,1.9753937392117802,1.2369547912818408,2.7865051108015493
400,6,22,filler_subj,3.6274639960617843,2.83027140266771,4.5240458430691515
400,6,22,syntax_critical,1.5988203339043574,1.0006131409366121,2.2473811412141265
400,6,22,syntax_filler,1.652070256850004,1.0616853855249506,2.2561430137574776
400,6,23,b_Intercept,3.113924989496119,2.6726075578827664,3.597963620825766
400,6,23,b_syntax_dev1,0.1533263420443702,-0.015899088639799736,0.3230459681210183
400,6,23,b_syntax_dev1:trial_dev1,-0.2902607028356473,-0.4771181467201753,-0.10571758808661808
400,6,23,b_trial_dev1,-0.05205351050354427,-0.34353510478138216,0.22812130270883005
