key,mean,lower,upper,n.subj,n.item,seed
critical_subj,3.1705690776823108,2.5965871490895127,3.7827000353700884,350,8,48
filler_pred,0.8480726867199299,0.35889789755790924,1.3438384833027688,350,8,48
filler_subj,2.8938153248776324,2.3393012818877104,3.4774416169771496,350,8,48
syntax_critical,1.2362707595555615,0.6542769476130686,1.8298189739282715,350,8,48
syntax_filler,2.0457426381577024,1.4593092691427783,2.649606273855355,350,8,48
b_Intercept,3.3326533261353006,2.820941367601924,3.9158982367948947,350,8,49
b_syntax_dev1,0.9896713554818843,0.7764383595226024,1.2256284309965872,350,8,49
b_syntax_dev1:trial_dev1,0.2992256803339292,0.08311192190789649,0.5234420257018357,350,8,49
b_trial_dev1,0.4212650251535842,0.06249238539336438,0.7799085071746585,350,8,49
critical_pred,2.2209426258337612,1.605171452882318,2.8783190279744586,350,8,49
critical_subj,3.601833976129672,2.9254729575089122,4.363751686349624,350,8,49
filler_pred,2.4650213154730714,1.8473991106594234,3.1371274834893215,350,8,49
filler_subj,5.042815387104699,4.233989736919545,5.972232553314636,350,8,49
syntax_critical,1.3808913502959104,0.8347094325829648,1.9710048523976658,350,8,49
syntax_filler,2.577794071631627,1.927924941981088,3.3048596649098014,350,8,49
b_Intercept,3.531576078407557,2.8364015682380224,4.328704712761178,350,8,50
b_syntax_dev1,0.9396296528867664,0.6038169548590182,1.2998450085032174,350,8,50
b_syntax_dev1:trial_dev1,0.4229712538920692,0.1793659010038833,0.6874769941012827,350,8,50
b_trial_dev1,0.46349055725250227,-0.13432570292316767,1.0679841805324828,350,8,50
critical_pred,2.5514271221603577,1.6239913882596713,3.5830135106227905,350,8,50
critical_subj,3.584743920149752,2.589449925733255,4.686315086994552,350,8,50
filler_pred,2.6324657288812237,1.6857906158194733,3.6328352527744943,350,8,50
filler_subj,5.357667542438895,4.229289305761396,6.639140551802837,350,8,50
syntax_critical,1.0333167979893945,0.25257304309284645,1.889781012310053,350,8,50
syntax_filler,2.725201813557671,1.8531729789061142,3.7079337225156803,350,8,50
b_Intercept,2.635186216817863,2.161360916751953,3.166784370956297,350,8,51
b_syntax_dev1,0.824296089175941,0.5914608176099294,1.0693851082708867,350,8,51
b_syntax_dev1:trial_dev1,0.14232377350433034,-0.07356238760174186,0.36378246331436975,350,8,51
b_trial_dev1,-0.3908032443950508,-0.8659616528746892,0.08321399677376567,350,8,51
critical_pred,2.344017145541303,1.6368844046471478,3.119931176601002,350,8,51
critical_subj,3.7079617768845243,2.9332572283379226,4.564216373921242,350,8,51
filler_pred,1.2777631097425406,0.5746012263868647,1.9850718808677694,350,8,51
filler_subj,3.2110028351030833,2.4510013308808563,4.040763692864529,350,8,51
syntax_critical,1.3639446313432213,0.72031379162197,2.025809519794748,350,8,51
syntax_filler,1.9332397253605427,1.3062115722728447,2.584669885618135,350,8,51
b_Intercept,4.0592900175540905,3.3328138774236438,4.8799380545223485,350,8,52
b_syntax_dev1,0.768030018809083,0.5116712010573975,1.043216040793631,350,8,52
b_syntax_dev1:trial_dev1,0.46904291673853643,0.1869485987991501,0.7553734765238845,350,8,52
b_trial_dev1,0.06575370519950911,-0.3249896207866046,0.4678657031341593,350,8,52
critical_pred,3.694549210284035,2.8229616931540074,4.65886460577958,350,8,52
critical_subj,4.292523414425128,3.392948893877528,5.2879574472670265,350,8,52
filler_pred,2.88797078720598,2.0734423685808228,3.780564730432443,350,8,52
filler_subj,5.362116658301219,4.367766903216336,6.47765940380088,350,8,52
syntax_critical,0.5979742041410931,-0.12282339613190019,1.3439799997053998,350,8,52
syntax_filler,2.474145871095239,1.6909057042447364,3.330009962859403,350,8,52
b_Intercept,3.15751082790209,2.5153955671077726,3.8810082797124266,350,8,53
b_syntax_dev1,0.8518510807035579,0.6627777119272001,1.0577664253619588,350,8,53
b_syntax_dev1:trial_dev1,0.20790820920182318,-0.02490843144886284,0.45670492973444116,350,8,53
b_trial_dev1,-0.2809553437890963,-0.6346200834466199,0.0584936476598076,350,8,53
critical_pred,2.7945233001894514,2.0237893013948454,3.6452248980938307,350,8,53
critical_subj,4.0824090431929205,3.2545574748771386,5.004538002520008,350,8,53
filler_pred,1.8167961942076123,1.1073930774384315,2.5942970492301067,350,8,53
filler_subj,3.9363147740183746,3.125704213216852,4.845325751315698,350,8,53
syntax_critical,1.2878857430034694,0.6932557816928939,1.91670225731136,350,8,53
syntax_filler,2.119518579810762,1.5339871723828704,2.7729068217884536,350,8,53
b_Intercept,2.7429983498441928,2.3056393308593566,3.207959128606829,350,8,54
b_syntax_dev1,0.8369900150665479,0.6612864249738916,1.0197749131229836,350,8,54
b_syntax_dev1:trial_dev1,0.2688909607744281,-0.006555610048024238,0.5549951923593891,350,8,54
b_trial_dev1,0.03205747689795042,-0.20372087289065866,0.26778829129835025,350,8,54
critical_pred,2.1428418186541225,1.6082291580222974,2.726805710555362,350,8,54
critical_subj,3.279039927238362,2.6625178757810137,3.9419214970936594,350,8,54
filler_pred,1.669174850901167,1.1318575139013247,2.228724010505024,350,8,54
filler_subj,3.8809368025831192,3.2414908501237916,4.583025727675108,350,8,54
syntax_critical,1.1361981085842396,0.49433098741812614,1.78553993507847,350,8,54
syntax_filler,2.211761951681952,1.5499446249146822,2.9059349526700804,350,8,54
b_Intercept,3.205208555262073,2.7023610498509654,3.7712032681193715,350,8,55
b_syntax_dev1,0.6272959987766007,0.44377508623731404,0.8235296156665544,350,8,55
b_syntax_dev1:trial_dev1,0.14722308165533826,-0.06518120583130392,0.3581949657386715,350,8,55
b_trial_dev1,-0.26174466229686866,-0.6404766742750946,0.11161704250648254,350,8,55
critical_pred,2.9868803004376794,2.3028472833967872,3.711123742086972,350,8,55
critical_subj,3.947026134680204,3.211460564706586,4.754783536194231,350,8,55
filler_pred,2.1689448125332653,1.535550587678898,2.8432470783124173,350,8,55
filler_subj,3.7179829733971435,3.018718514802577,4.497027637644182,350,8,55
syntax_critical,0.9601458342425248,0.40231044036352254,1.5348868244549803,350,8,55
syntax_filler,1.549038160863878,0.9893418455773703,2.128739831045969,350,8,55
b_Intercept,2.436119510876912,1.9700507434628258,2.9545228794189042,350,8,56
b_syntax_dev1,0.7443809052954047,0.5593935713505268,0.9505487071009302,350,8,56
b_syntax_dev1:trial_dev1,-0.2564757776762088,-0.4588089113575627,-0.05596958253022866,350,8,56
b_trial_dev1,-0.6802011378658962,-0.8913419878348976,-0.4799721318148495,350,8,56
critical_pred,2.1154639657711947,1.5633227802227823,2.7044929655259917,350,8,56
critical_subj,4.117177331714422,3.457050335949921,4.845868559993922,350,8,56
filler_pred,1.2680132453918198,0.7354282902078791,1.8327289665596103,350,8,56
filler_subj,2.243823500630212,1.679166356060268,2.85027758339581,350,8,56
syntax_critical,2.001713365943227,1.4409731422159124,2.6073332009277013,350,8,56
syntax_filler,0.9758102552383917,0.4489024266651949,1.5280846196392404,350,8,56
b_Intercept,3.4222400039753227,2.8459528642693783,4.064203308884435,350,8,57
b_syntax_dev1,1.242168270245109,1.0196561075628536,1.4879021968456523,350,8,57
b_syntax_dev1:trial_dev1,0.14177857170734726,-0.09217295938295571,0.38657793733857043,350,8,57
b_trial_dev1,0.026185412228568943,-0.20168463488158944,0.2552724743255969,350,8,57
critical_pred,2.295664893208992,1.7054708197607342,2.952527423801537,350,8,57
critical_subj,4.496444290284516,3.7227943318304684,5.336776460213626,350,8,57
filler_pred,2.0644785742514355,1.4491698710992986,2.7073198354524513,350,8,57
filler_subj,4.832372258156348,4.0447663526275335,5.686434134610867,350,8,57
syntax_critical,2.2007793970755234,1.5731046037273242,2.87076184148106,350,8,57
syntax_filler,2.767893683904912,2.1110211179059326,3.4948249042409794,350,8,57
b_Intercept,2.885545037064399,2.4098858522995856,3.415884221289941,350,8,58
b_syntax_dev1,0.6862961289942985,0.4676186405772376,0.9277556640165403,350,8,58
b_syntax_dev1:trial_dev1,0.15693651175206852,-0.2865021288394136,0.5879250516237832,350,8,58
b_trial_dev1,-0.18694529743726165,-0.5399778632842553,0.16483369127093975,350,8,58
critical_pred,2.5431307172594306,1.7920685347044814,3.325190021036426,350,8,58
critical_subj,3.601849951743891,2.8013694496535337,4.466587724776172,350,8,58
filler_pred,1.8553670988807704,1.1350868366419098,2.5869715368551494,350,8,58
filler_subj,3.5418323803735046,2.7463452373996953,4.389621042888827,350,8,58
syntax_critical,1.0587192344844598,0.09622380250762691,2.057534613563291,350,8,58
syntax_filler,1.686465281492734,0.6907121127158842,2.683773022988825,350,8,58
b_Intercept,2.9225035841590117,2.4096200636570924,3.4822594702969942,350,8,59
b_syntax_dev1,0.8260621879829841,0.5986849222138091,1.074408980100638,350,8,59
b_syntax_dev1:trial_dev1,-0.0035342787141164483,-0.22850551765964652,0.21531009133987694,350,8,59
b_trial_dev1,0.030030163706912767,-0.29918312798615515,0.37171760613361005,350,8,59
critical_pred,2.0628769537549987,1.4168655796369547,2.7227945183985764,350,8,59
critical_subj,3.7220698871491997,2.9965912298471538,4.507525455523657,350,8,59
filler_pred,2.130005838597057,1.5026523689718387,2.804609871418794,350,8,59
filler_subj,3.7750616571347924,3.060326420383848,4.567623007247539,350,8,59
syntax_critical,1.659192933394201,1.028055125553233,2.3252740055018197,350,8,59
syntax_filler,1.6450558185377353,1.0122752055356705,2.3085308871528283,350,8,59
b_Intercept,2.876019520114935,2.4399361081339084,3.371105124466751,350,8,60
b_syntax_dev1,0.8852971480931315,0.7053582437703492,1.0720965259683912,350,8,60
b_syntax_dev1:trial_dev1,0.13595609287189822,-0.03832772355879181,0.30610037260130757,350,8,60
b_trial_dev1,0.1641907111381879,-0.24906521868620554,0.5856294061447582,350,8,60
critical_pred,1.962487753755514,1.364674764908588,2.5945118980947823,350,8,60
critical_subj,3.4611698641979807,2.8080051850783656,4.192693426036812,350,8,60
filler_pred,2.0189569902880935,1.4141794384282291,2.6695048703585456,350,8,60
filler_subj,4.061463472218152,3.3730191227464124,4.856162146217922,350,8,60
syntax_critical,1.4986821104424666,1.0171044585922593,1.9966646323786095,350,8,60
syntax_filler,2.0425064819300593,1.5436248031391235,2.5843772519859605,350,8,60
b_Intercept,2.806042562991145,2.327249129063342,3.3269367245216723,350,8,61
b_syntax_dev1,0.691078531498721,0.5095084810832846,0.8809202966802545,350,8,61
b_syntax_dev1:trial_dev1,0.3202432013962645,0.15474584493298113,0.48901890698022243,350,8,61
b_trial_dev1,-0.06698005760915157,-0.32607467133635304,0.19145490799983275,350,8,61
critical_pred,2.50218729049784,1.9301416301207217,3.12521085856272,350,8,61
critical_subj,3.243857950702753,2.6359705107461036,3.8885730701776033,350,8,61
filler_pred,1.727740772487008,1.1986482654365442,2.3077772691205745,350,8,61
filler_subj,3.750384238276979,3.117825185878529,4.448692892681974,350,8,61
syntax_critical,0.7416706602049129,0.2673891996304526,1.2281652460633883,350,8,61
syntax_filler,2.022643465789971,1.5219361892709442,2.561713470215398,350,8,61
b_Intercept,2.9689305027383432,2.4661870421580736,3.5385858334357483,350,8,62
b_syntax_dev1,0.6341380801363866,0.45265997974439975,0.8366489250074428,350,8,62
b_syntax_dev1:trial_dev1,-0.09907745504131625,-0.27359935742673636,0.07490753816786845,350,8,62
b_trial_dev1,-0.2552874926068845,-0.5657636095921145,0.060502259081113605,350,8,62
critical_pred,2.491002460167525,1.8979118505083028,3.147727822787033,350,8,62
critical_subj,3.9574335305229305,3.2650838632438663,4.730068916116609,350,8,62
filler_pred,2.178582385036388,1.6038344647359122,2.831003648633454,350,8,62
filler_subj,3.248703635226529,2.6137585164373345,3.9752842241256148,350,8,62
