submission_id,trial_number,ref_spec,context,item,response,condition,context_picture,target_size,response_cat,response_num,response_label
618,2,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
618,3,1,subordinate parade,fish,goldfish,prenominal,images/fish-parade-goldfish.png,small,sub,0,basic
617,1,1,subordinate parade,trees,trees,prenominal,images/tree-parade-redwood.png,big,basic,1,basic
617,2,1,subordinate parade,fish,goldfish,prenominal,images/fish-parade-goldfish.png,small,sub,0,basic
617,3,1,subordinate parade,birds,eagles,prenominal,images/bird-parade-eagle.png,big,sub,0,basic
617,1,1,basic-level parade,dogs2,smaller dogs,prenominal,images/dog-parade-basic2.png,big,basic,1,basic
617,2,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,small,basic,1,basic
617,3,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,small,basic,1,basic
616,1,1,subordinate parade,dogs1,dobermans,prenominal,images/dog-parade-doberman.png,big,sub,0,basic
616,2,1,basic-level parade,fish,fish,prenominal,images/fish-parade-basic.png,big,basic,1,basic
616,3,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
616,1,1,subordinate parade,birds,hummingbirds,prenominal,images/bird-parade-hummingbird.png,small,sub,0,basic
616,2,1,subordinate parade,trees,bonsai,prenominal,images/tree-parade-bonsai.png,small,sub,0,basic
616,3,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,small,basic,1,basic
613,1,1,subordinate parade,flowers,dandelions,prenominal,images/flower-parade-dandelion.png,small,sub,0,basic
613,2,1,subordinate parade,birds,hummingbrids,prenominal,images/bird-parade-hummingbird.png,small,sub,0,basic
613,3,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,small,basic,1,basic
613,1,1,basic-level parade,trees,trees,prenominal,images/tree-parade-basic.png,big,basic,1,basic
613,2,1,subordinate parade,fish,swordfish,prenominal,images/fish-parade-swordfish.png,big,sub,0,basic
613,3,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,big,basic,1,basic
609,1,1,basic-level parade,fish,goldfish,prenominal,images/fish-parade-basic.png,small,sub,0,basic
609,2,1,subordinate parade,trees,bonsai,prenominal,images/tree-parade-bonsai.png,small,sub,0,basic
609,3,1,basic-level parade,dogs1,dobermans,prenominal,images/dog-parade-basic.png,big,sub,0,basic
609,1,1,subordinate parade,birds,eagles,prenominal,images/bird-parade-eagle.png,big,sub,0,basic
609,2,1,basic-level parade,flowers,dandelions,prenominal,images/flower-parade-basic.png,small,sub,0,basic
609,3,1,subordinate parade,dogs2,great danes,prenominal,images/dog-parade-great-dane.png,big,sub,0,basic
604,1,1,subordinate parade,birds,birds,prenominal,images/bird-parade-eagle.png,big,basic,1,basic
604,2,1,subordinate parade,fish,goldfish,prenominal,images/fish-parade-goldfish.png,small,sub,0,basic
604,3,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,big,basic,1,basic
604,1,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
604,2,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,small,basic,1,basic
604,3,1,subordinate parade,trees,bonsais,prenominal,images/tree-parade-bonsai.png,small,sub,0,basic
603,1,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,big,basic,1,basic
603,2,1,subordinate parade,trees,trees,prenominal,images/tree-parade-redwood.png,big,basic,1,basic
603,3,1,subordinate parade,birds,birds,prenominal,images/bird-parade-eagle.png,big,basic,1,basic
603,1,1,basic-level parade,fish,fish,prenominal,images/fish-parade-basic.png,small,basic,1,basic
603,2,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,small,basic,1,basic
603,3,1,subordinate parade,dogs1,dogs,prenominal,images/dog-parade-chihuahua.png,small,basic,1,basic
599,1,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,small,basic,1,basic
599,2,1,subordinate parade,dogs2,dogs,prenominal,images/dog-parade-great-dane.png,big,basic,1,basic
599,3,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
599,1,1,basic-level parade,fish,fish,prenominal,images/fish-parade-basic.png,small,basic,1,basic
599,2,1,subordinate parade,birds,birds,prenominal,images/bird-parade-eagle.png,big,basic,1,basic
599,3,1,subordinate parade,trees,trees,prenominal,images/tree-parade-bonsai.png,small,basic,1,basic
597,1,1,basic-level parade,flowers,sunflowers,prenominal,images/flower-parade-basic.png,big,sub,0,basic
597,2,1,subordinate parade,dogs2,pugs,prenominal,images/dog-parade-pug.png,small,sub,0,basic
597,3,1,subordinate parade,fish,swordfish,prenominal,images/fish-parade-swordfish.png,big,sub,0,basic
597,1,1,basic-level parade,birds,hummingbirds,prenominal,images/bird-parade-basic.png,small,sub,0,basic
597,2,1,basic-level parade,trees,trees,prenominal,images/tree-parade-basic.png,big,basic,1,basic
597,3,1,subordinate parade,dogs1,chihuahuas,prenominal,images/dog-parade-chihuahua.png,small,sub,0,basic
596,1,1,basic-level parade,fish,fish,prenominal,images/fish-parade-basic.png,big,basic,1,basic
596,2,1,basic-level parade,dogs2,great danes,prenominal,images/dog-parade-basic2.png,small,sub,0,basic
596,3,1,subordinate parade,flowers,dandelions,prenominal,images/flower-parade-dandelion.png,small,sub,0,basic
596,1,1,subordinate parade,birds,birds,prenominal,images/bird-parade-hummingbird.png,small,basic,1,basic
596,2,1,subordinate parade,trees,trees,prenominal,images/tree-parade-redwood.png,big,basic,1,basic
596,3,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,big,basic,1,basic
595,1,1,basic-level parade,birds,hummigbirds,prenominal,images/bird-parade-basic.png,small,sub,0,basic
595,2,1,subordinate parade,fish,fish,prenominal,images/fish-parade-swordfish.png,big,basic,1,basic
595,3,1,subordinate parade,trees,trees,prenominal,images/tree-parade-redwood.png,big,basic,1,basic
595,1,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,small,basic,1,basic
595,2,1,subordinate parade,flowers,flowers,prenominal,images/flower-parade-dandelion.png,small,basic,1,basic
595,3,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,big,basic,1,basic
591,1,1,subordinate parade,trees,trees,prenominal,images/tree-parade-bonsai.png,small,basic,1,basic
591,2,1,basic-level parade,birds,birds,prenominal,images/bird-parade-basic.png,small,basic,1,basic
591,3,1,subordinate parade,flowers,sunflowers,prenominal,images/flower-parade-sunflower.png,big,sub,0,basic
591,1,1,basic-level parade,fish,fish,prenominal,images/fish-parade-basic.png,big,basic,1,basic
591,2,1,subordinate parade,dogs2,dogs,prenominal,images/dog-parade-great-dane.png,big,basic,1,basic
591,3,1,basic-level parade,dogs1,chihuahua,prenominal,images/dog-parade-basic.png,small,sub,0,basic
589,1,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
589,2,1,subordinate parade,fish,fish,prenominal,images/fish-parade-goldfish.png,small,basic,1,basic
589,3,1,subordinate parade,dogs1,dogs,prenominal,images/dog-parade-chihuahua.png,small,basic,1,basic
589,1,1,basic-level parade,birds,hummingbirds,prenominal,images/bird-parade-basic.png,small,sub,0,basic
589,2,1,subordinate parade,dogs2,dogs,prenominal,images/dog-parade-great-dane.png,big,basic,1,basic
589,3,1,basic-level parade,trees,trees,prenominal,images/tree-parade-basic.png,big,basic,1,basic
588,1,1,subordinate parade,birds,birds,prenominal,images/bird-parade-hummingbird.png,small,basic,1,basic
588,2,1,subordinate parade,trees,bonsai,prenominal,images/tree-parade-bonsai.png,small,sub,0,basic
588,3,1,basic-level parade,dogs1,dogs,prenominal,images/dog-parade-basic.png,big,basic,1,basic
588,1,1,basic-level parade,dogs2,dogs,prenominal,images/dog-parade-basic2.png,big,basic,1,basic
588,2,1,basic-level parade,flowers,sunflowers,prenominal,images/flower-parade-basic.png,big,sub,0,basic
588,3,1,subordinate parade,fish,goldfish,prenominal,images/fish-parade-goldfish.png,small,sub,0,basic
587,1,1,subordinate parade,dogs1,chihuahuas,prenominal,images/dog-parade-chihuahua.png,small,sub,0,basic
587,2,1,subordinate parade,dogs2,dogs,prenominal,images/dog-parade-great-dane.png,big,basic,1,basic
587,3,1,basic-level parade,flowers,flowers,prenominal,images/flower-parade-basic.png,big,basic,1,basic
587,1,1,subordinate parade,fish,goldfish,prenominal,images/fish-parade-goldfish.png,small,sub,0,basic
587,2,1,basic-level parade,birds,birds,prenominal,images/bird-parade-basic.png,small,basic,1,basic
587,3,1,basic-level parade,trees,trees,prenominal,images/tree-parade-basic.png,big,basic,1,basic
